time,mma_peak_area,bmdo_peak_area,A1,A2,M1,M2,f1,f2,c1,c2,0.65
141.9666667,6.655750701,0.536477309,6.655750701,0.536477309,0.956442496,0.944088617,0.503250112,0.496749888,0.862557615,-0.661399845,0.654225146
142.05,6.65369243,0.537763606,6.65369243,0.537763606,0.956146719,0.946352234,0.502574111,0.497425889,0.862600119,-0.665383339,0.653346344
142.15,6.681297059,0.538703636,6.681297059,0.538703636,0.960113551,0.948006491,0.50317251,0.49682749,0.862030079,-0.668294488,0.654124263
142.2166667,6.620713227,0.538437875,6.620713227,0.538437875,0.951407553,0.947538806,0.501018656,0.498981344,0.863281145,-0.66747146,0.651324253
142.3,6.698762604,0.540719762,6.698762604,0.540719762,0.962623379,0.951554454,0.5028913,0.4971087,0.861669412,-0.674538166,0.65375869
142.3833333,6.649598241,0.536780705,6.649598241,0.536780705,0.955558377,0.944622531,0.50287758,0.49712242,0.862684665,-0.662339422,0.653740854
142.4666667,6.611032063,0.54126065,6.611032063,0.54126065,0.950016353,0.952506304,0.499345619,0.500654381,0.863481063,-0.676213224,0.649149304
142.55,6.642924085,0.539465995,6.642924085,0.539465995,0.95459929,0.949348084,0.501379031,0.498620969,0.862822487,-0.670655413,0.651792741
142.65,6.670567488,0.537214762,6.670567488,0.537214762,0.958571693,0.945386382,0.503462605,0.496537395,0.862251646,-0.663683641,0.654501387
142.7166667,6.68156176,0.539702885,6.68156176,0.539702885,0.960151589,0.949764961,0.502719131,0.497280869,0.862024612,-0.671389031,0.65353487
142.8,6.650028406,0.535457825,6.650028406,0.535457825,0.955620193,0.942294538,0.503510604,0.496489396,0.862675782,-0.658242637,0.654563786
142.8833333,6.695826951,0.53800194,6.695826951,0.53800194,0.96220152,0.946771652,0.504041405,0.495958595,0.861730034,-0.666121428,0.655253827
142.9666667,6.707275568,0.541961129,6.707275568,0.541961129,0.963846706,0.953739002,0.502635529,0.497364471,0.861493618,-0.678382517,0.653426187
143.0666667,6.673968947,0.540292286,6.673968947,0.540292286,0.959060489,0.950802184,0.502162015,0.497837985,0.862181405,-0.673214327,0.65281062
143.15,6.661316427,0.536782891,6.661316427,0.536782891,0.9572423,0.944626378,0.503316717,0.496683283,0.862442682,-0.662346192,0.654311733
143.2333333,6.622087856,0.542355922,6.622087856,0.542355922,0.951605089,0.954433756,0.499257972,0.500742028,0.863252759,-0.679605139,0.649035364
143.3166667,6.637177285,0.536725515,6.637177285,0.536725515,0.953773465,0.944525409,0.50243588,0.49756412,0.862941159,-0.662168507,0.653166644
143.4,6.736910176,0.536723632,6.736910176,0.536723632,0.968105248,0.944522095,0.50616512,0.49383488,0.860881658,-0.662162674,0.658014656
143.4833333,6.719269274,0.53450546,6.719269274,0.53450546,0.965570221,0.940618573,0.506544905,0.493455095,0.861245946,-0.655293288,0.658508376
143.5666667,6.676875289,0.53639996,6.676875289,0.53639996,0.959478135,0.943952499,0.50407833,0.49592167,0.862121389,-0.661160305,0.655301829
143.65,6.663383938,0.537497189,6.663383938,0.537497189,0.957539405,0.945883394,0.503061855,0.496938145,0.862399988,-0.664558279,0.653980412
